state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,21days_or_fewer,nonmonetary_determination_time_lapse,md_fy_num,md_fy_str
AK,2020-12-31,intra-total,714,716,350,241,184,107,49,41,21,1570,980,4973,2410,0.484616931429721,2020,2020-2021
AK,2020-12-31,intra-ucfe,4,7,1,8,2,1,0,0,0,3,7,33,18,0.545454545454545,2020,2020-2021
AK,2020-12-31,intra-ucx,2,0,0,3,1,0,0,0,0,1,0,7,2,0.285714285714286,2020,2020-2021
AK,2020-12-31,intra-ui,708,709,349,230,181,106,49,41,21,1566,973,4933,2390,0.484492195418609,2020,2020-2021
AK,2021-01-31,inter-total,109,58,36,24,34,15,21,17,13,218,133,678,300,0.442477876106195,2020,2020-2021
AK,2021-01-31,inter-ucfe,1,3,2,0,1,0,2,2,0,3,2,16,6,0.375,2020,2020-2021
AK,2021-01-31,inter-ucx,0,0,0,0,0,0,0,0,0,1,1,2,1,0.5,2020,2020-2021
AK,2021-01-31,inter-ui,108,55,34,24,33,15,19,15,13,214,130,660,293,0.443939393939394,2020,2020-2021
AK,2021-01-31,intra-total,882,397,272,191,162,148,149,96,66,1445,885,4693,2164,0.461112294907309,2020,2020-2021
AK,2021-01-31,intra-ucfe,4,1,6,1,1,3,5,2,1,3,5,32,10,0.3125,2020,2020-2021
AK,2021-01-31,intra-ucx,2,2,1,0,0,0,0,0,1,4,0,10,4,0.4,2020,2020-2021
AK,2021-01-31,intra-ui,876,394,265,190,161,145,144,94,64,1438,880,4651,2150,0.462266179316276,2020,2020-2021
AK,2021-02-28,inter-total,156,47,20,16,13,8,15,15,8,200,71,569,274,0.481546572934974,2020,2020-2021
AK,2021-02-28,inter-ucfe,4,3,0,1,0,0,0,0,0,1,1,10,8,0.8,2020,2020-2021
AK,2021-02-28,inter-ucx,0,0,0,1,0,1,0,1,0,0,0,3,0,0,2020,2020-2021
AK,2021-02-28,inter-ui,152,44,20,14,13,7,15,14,8,199,70,556,266,0.47841726618705,2020,2020-2021
AK,2021-02-28,intra-total,1262,294,171,114,88,83,107,112,145,1768,552,4696,2108,0.448892674616695,2020,2020-2021
AK,2021-02-28,intra-ucfe,10,4,1,2,0,2,0,2,3,14,7,45,21,0.466666666666667,2020,2020-2021
AK,2021-02-28,intra-ucx,6,1,2,0,0,0,0,0,0,4,1,14,8,0.571428571428571,2020,2020-2021
AK,2021-02-28,intra-ui,1246,289,168,112,88,81,107,110,142,1750,544,4637,2079,0.448350226439508,2020,2020-2021
AK,2021-03-31,inter-total,182,29,15,10,9,13,9,7,14,262,41,591,252,0.426395939086294,2020,2020-2021
AK,2021-03-31,inter-ucfe,5,2,1,0,0,0,1,1,0,6,0,16,7,0.4375,2020,2020-2021
AK,2021-03-31,inter-ucx,1,0,0,0,0,0,0,0,0,1,0,2,1,0.5,2020,2020-2021
AK,2021-03-31,inter-ui,176,27,14,10,9,13,8,6,14,255,41,573,244,0.425828970331588,2020,2020-2021
AK,2021-03-31,intra-total,1713,284,170,102,85,86,66,80,90,2208,512,5396,2509,0.464974054855449,2020,2020-2021
AK,2021-03-31,intra-ucfe,23,4,1,0,0,1,1,0,0,9,3,42,30,0.714285714285714,2020,2020-2021
AK,2021-03-31,intra-ucx,7,1,0,0,0,0,0,0,0,3,0,11,8,0.727272727272727,2020,2020-2021
AK,2021-03-31,intra-ui,1683,279,169,102,85,85,65,80,90,2196,509,5343,2471,0.462474265393973,2020,2020-2021
AK,2021-04-30,inter-total,128,30,21,9,10,2,7,6,3,173,62,451,220,0.487804878048781,2020,2020-2021
AK,2021-04-30,inter-ucfe,1,0,0,0,1,0,0,1,0,0,1,4,2,0.5,2020,2020-2021
AK,2021-04-30,inter-ucx,1,0,0,0,0,0,0,0,0,0,2,3,3,1,2020,2020-2021
AK,2021-04-30,inter-ui,126,30,21,9,9,2,7,5,3,173,59,444,215,0.484234234234234,2020,2020-2021
AK,2021-04-30,intra-total,1113,303,208,112,88,27,45,27,32,1596,513,4064,1929,0.474655511811024,2020,2020-2021
AK,2021-04-30,intra-ucfe,7,2,0,1,1,0,1,1,1,10,4,28,13,0.464285714285714,2020,2020-2021
AK,2021-04-30,intra-ucx,6,1,1,0,0,0,0,0,0,3,1,12,8,0.666666666666667,2020,2020-2021
AK,2021-04-30,intra-ui,1100,300,207,111,87,27,44,26,31,1583,508,4024,1908,0.474155069582505,2020,2020-2021
AK,2021-05-31,inter-total,127,37,19,17,10,10,5,3,4,149,86,467,250,0.535331905781585,2020,2020-2021
AK,2021-05-31,inter-ucfe,2,1,0,0,0,0,0,0,0,1,1,5,4,0.8,2020,2020-2021
AK,2021-05-31,inter-ucx,2,0,0,0,0,0,0,0,0,0,0,2,2,1,2020,2020-2021
AK,2021-05-31,inter-ui,123,36,19,17,10,10,5,3,4,148,85,460,244,0.530434782608696,2020,2020-2021
AK,2021-05-31,intra-total,988,284,301,269,177,77,52,34,31,1431,553,4197,1825,0.434834405527758,2020,2020-2021
AK,2021-05-31,intra-ucfe,6,2,2,4,0,0,0,0,0,9,5,28,13,0.464285714285714,2020,2020-2021
