state,report_for_period_ending,non_exempt_1st_payment,non_exempt_intrastate_matches,non_exempt_interstate_matches,exempt_1st_payment,exempt_intrastate_matches,exempt_interstate_matches,md_fy_num,md_fy_str,reemployment_rate
MI,2020-03-31,58894,41655,0,64106,49070,0,2019,2019-2020,0.707287669372092
MI,2020-06-30,663,483,5,943306,780892,1844,2019,2019-2020,0.73604826546003
MI,2020-09-30,1845,1443,1,118758,81301,287,2020,2020-2021,0.782655826558266
MI,2020-12-31,107,68,1,65215,37893,256,2020,2020-2021,0.644859813084112
MI,2021-03-31,161,95,0,67668,51338,198,2020,2020-2021,0.590062111801242
MI,2021-06-30,17418,13264,67,62074,53299,155,2020,2020-2021,0.76535767596739
MN,2019-03-31,14156,9252,784,24605,21797,896,2018,2018-2019,0.708957332579825
MN,2019-06-30,11184,6762,668,5716,4559,344,2018,2018-2019,0.66434191702432
MN,2019-09-30,8952,5038,641,5407,4436,290,2019,2019-2020,0.634383378016086
MN,2019-12-31,9291,4505,823,26592,12234,3502,2019,2019-2020,0.573458185340652
MN,2020-03-31,10421,4169,937,27233,22351,1640,2019,2019-2020,0.489972171576624
MN,2020-06-30,532,170,38,4428,3146,295,2019,2019-2020,0.390977443609023
MN,2020-09-30,74,27,8,983,670,96,2020,2020-2021,0.472972972972973
MN,2020-12-31,44,26,2,899,593,86,2020,2020-2021,0.636363636363636
MN,2021-03-31,16136,10273,804,17720,14066,975,2020,2020-2021,0.686477441745166
MN,2021-06-30,35938,23192,1625,9432,7250,478,2020,2020-2021,0.690550392342367
MN,2021-09-30,27852,17777,1355,5371,3742,542,2021,2021-2022,0.686916558954474
MN,2021-12-31,13038,8170,862,23187,9310,3774,2021,2021-2022,0.692744285933426
MO,2019-03-31,14792,9703,626,10958,9973,82,2018,2018-2019,0.69828285559762
MO,2019-06-30,11173,6856,599,2470,2155,33,2018,2018-2019,0.667233509352904
MO,2019-09-30,13532,9135,539,2463,2032,49,2019,2019-2020,0.714898019509311
MO,2019-12-31,12472,7406,636,2904,2383,57,2019,2019-2020,0.644804361770366
MO,2020-03-31,29171,18759,1551,10741,8714,222,2019,2019-2020,0.696239415858215
MO,2020-06-30,25633,16937,1402,231749,176048,7559,2019,2019-2020,0.715444934264425
MO,2020-09-30,24365,13900,1171,21315,14291,569,2020,2020-2021,0.61855120049251
MO,2020-12-31,16874,8063,984,3183,2500,60,2020,2020-2021,0.536150290387579
MO,2021-03-31,20240,11581,890,10828,9748,119,2020,2020-2021,0.616156126482213
MO,2021-06-30,35714,25256,1148,6765,5890,93,2020,2020-2021,0.739317914543316
MO,2021-09-30,13089,8806,413,2855,2489,41,2021,2021-2022,0.704331881732753
MO,2021-12-31,8633,5062,410,1501,1210,19,2021,2021-2022,0.633846866674389
MO,2022-03-31,12327,8981,377,5264,4916,20,2021,2021-2022,0.759146588788838
MO,2022-06-30,9557,6636,345,1593,1441,15,2021,2021-2022,0.730459349168149
MO,2022-09-30,11232,7652,407,2189,2048,10,2022,2022-2023,0.717503561253561
MO,2022-12-31,9730,5796,429,1418,1220,14,2022,2022-2023,0.639773895169579
MO,2023-03-31,13231,9115,455,5847,5513,17,2022,2022-2023,0.723301337767365
MO,2023-06-30,9994,6061,455,2051,1783,38,2022,2022-2023,0.65199119471683
MO,2023-09-30,12840,8774,430,3513,3127,33,2023,2023-2024,0.716822429906542
