state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,14days_or_fewer,21days_or_fewer,non_waiting_week,first_payment_promptness,md_fy_num,md_fy_str
AK,2020-09-30,intra-total,1087,105,62,61,48,26,25,17,14,229,248,1922,1335,1440,FALSE,0.749219562955255,2020,2020-2021
AK,2020-09-30,intra-ucfe,5,3,3,0,0,0,1,0,2,1,1,16,6,9,FALSE,0.5625,2020,2020-2021
AK,2020-09-30,intra-ucx,2,0,2,0,0,0,0,0,0,0,1,5,3,3,FALSE,0.6,2020,2020-2021
AK,2020-09-30,intra-ui,1080,102,57,61,48,26,24,17,12,228,246,1901,1326,1428,FALSE,0.751183587585481,2020,2020-2021
AK,2020-10-31,inter-total,397,21,9,0,4,5,4,2,0,20,80,542,477,498,FALSE,0.918819188191882,2020,2020-2021
AK,2020-10-31,inter-ucfe,4,2,0,0,1,0,0,0,0,1,1,9,5,7,FALSE,0.777777777777778,2020,2020-2021
AK,2020-10-31,inter-ucx,0,0,1,0,0,0,0,0,0,0,0,1,0,0,FALSE,0,2020,2020-2021
AK,2020-10-31,inter-ui,393,19,8,0,3,5,4,2,0,19,79,532,472,491,FALSE,0.922932330827068,2020,2020-2021
AK,2020-10-31,intra-total,1272,98,45,34,25,28,33,25,14,237,304,2115,1576,1674,FALSE,0.791489361702128,2020,2020-2021
AK,2020-10-31,intra-ucfe,6,4,4,3,2,2,0,1,0,5,5,32,11,15,FALSE,0.46875,2020,2020-2021
AK,2020-10-31,intra-ucx,2,2,1,0,1,0,0,0,0,0,0,6,2,4,FALSE,0.666666666666667,2020,2020-2021
AK,2020-10-31,intra-ui,1264,92,40,31,22,26,33,24,14,232,299,2077,1563,1655,FALSE,0.796822339913337,2020,2020-2021
AK,2020-11-30,inter-total,554,35,13,4,4,2,2,2,1,18,95,730,649,684,FALSE,0.936986301369863,2020,2020-2021
AK,2020-11-30,inter-ucfe,0,4,2,0,1,0,0,0,0,0,4,11,4,8,FALSE,0.727272727272727,2020,2020-2021
AK,2020-11-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2020,2020-2021
AK,2020-11-30,inter-ui,554,31,11,4,3,2,2,2,1,18,91,719,645,676,FALSE,0.94019471488178,2020,2020-2021
AK,2020-11-30,intra-total,1776,134,49,29,9,16,6,14,24,260,409,2726,2185,2319,FALSE,0.850696991929567,2020,2020-2021
AK,2020-11-30,intra-ucfe,8,8,4,6,2,0,0,0,0,7,13,48,21,29,FALSE,0.604166666666667,2020,2020-2021
AK,2020-11-30,intra-ucx,1,2,0,0,0,0,0,0,0,1,2,6,3,5,FALSE,0.833333333333333,2020,2020-2021
AK,2020-11-30,intra-ui,1767,124,45,23,7,16,6,14,24,252,394,2672,2161,2285,FALSE,0.855164670658683,2020,2020-2021
AK,2020-12-31,inter-total,498,24,20,13,6,4,1,2,2,12,66,648,564,588,FALSE,0.907407407407407,2020,2020-2021
AK,2020-12-31,inter-ucfe,1,1,8,3,2,0,1,1,1,0,1,19,2,3,FALSE,0.157894736842105,2020,2020-2021
AK,2020-12-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2020,2020-2021
AK,2020-12-31,inter-ui,497,23,12,10,4,4,0,1,1,12,65,629,562,585,FALSE,0.930047694753577,2020,2020-2021
AK,2020-12-31,intra-total,2304,184,111,57,41,29,12,10,2,165,413,3328,2717,2901,FALSE,0.871694711538462,2020,2020-2021
AK,2020-12-31,intra-ucfe,9,9,6,9,5,4,2,1,0,4,11,60,20,29,FALSE,0.483333333333333,2020,2020-2021
AK,2020-12-31,intra-ucx,0,0,0,0,0,0,0,0,0,0,2,2,2,2,FALSE,1,2020,2020-2021
AK,2020-12-31,intra-ui,2295,175,105,48,36,25,10,9,2,161,400,3266,2695,2870,FALSE,0.878750765462339,2020,2020-2021
AK,2021-01-31,inter-total,246,21,9,6,10,6,5,7,5,17,53,385,299,320,FALSE,0.831168831168831,2020,2020-2021
AK,2021-01-31,inter-ucfe,2,2,2,1,0,4,1,1,2,1,2,18,4,6,FALSE,0.333333333333333,2020,2020-2021
AK,2021-01-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2020,2020-2021
AK,2021-01-31,inter-ui,244,19,7,5,10,2,4,6,3,16,51,367,295,314,FALSE,0.85558583106267,2020,2020-2021
AK,2021-01-31,intra-total,1510,147,67,51,31,29,27,22,14,113,334,2345,1844,1991,FALSE,0.849040511727079,2020,2020-2021
AK,2021-01-31,intra-ucfe,10,4,6,3,7,3,5,1,0,2,11,52,21,25,FALSE,0.480769230769231,2020,2020-2021
AK,2021-01-31,intra-ucx,0,1,0,0,0,0,1,0,0,1,1,4,1,2,FALSE,0.5,2020,2020-2021
AK,2021-01-31,intra-ui,1500,142,61,48,24,26,21,21,14,110,322,2289,1822,1964,FALSE,0.858016601135867,2020,2020-2021
AK,2021-02-28,inter-total,168,18,12,6,4,3,3,2,2,21,36,275,204,222,FALSE,0.807272727272727,2020,2020-2021
AK,2021-02-28,inter-ucfe,0,3,4,2,0,0,0,0,0,4,4,17,4,7,FALSE,0.411764705882353,2020,2020-2021
AK,2021-02-28,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2020,2020-2021
AK,2021-02-28,inter-ui,168,15,8,4,4,3,3,2,2,17,32,258,200,215,FALSE,0.833333333333333,2020,2020-2021
AK,2021-02-28,intra-total,1463,140,84,38,25,20,20,15,20,296,369,2490,1832,1972,FALSE,0.791967871485944,2020,2020-2021
